library_name,location,open_hours
Accra Central Library,Accra,8am-6pm
Tema Community Library,Tema,8am-6pm
Madina Public Library,Madina,9am-5pm
Kasoa Branch Library,Kasoa,9am-5pm
Adabraka Library,Adabraka,8am-6pm
Kumasi Ashanti Regional Library,Kumasi,8am-6pm
Obuasi Mining Town Library,Obuasi,9am-5pm
Ejisu Community Library,Ejisu,9am-5pm
Konongo Public Library,Konongo,9am-5pm
Mampong Branch Library,Mampong,8am-5pm
Takoradi Harbour Library,Takoradi,8am-6pm
Sekondi Branch Library,Sekondi,9am-5pm
Tarkwa Mining Library,Tarkwa,9am-5pm
Axim Public Library,Axim,9am-5pm
Half Assini Branch Library,Half Assini,9am-4pm
Cape Coast Regional Library,Cape Coast,8am-6pm
Winneba Community Library,Winneba,9am-5pm
Mankessim Branch Library,Mankessim,9am-5pm
Saltpond Public Library,Saltpond,9am-5pm
Elmina Heritage Library,Elmina,9am-5pm
Koforidua Eastern Regional Library,Koforidua,8am-6pm
Nkawkaw Branch Library,Nkawkaw,9am-5pm
Akosombo Dam Library,Akosombo,9am-5pm
Suhum Community Library,Suhum,9am-5pm
Aburi Hill Library,Aburi,9am-5pm
Ho Volta Regional Library,Ho,8am-6pm
Hohoe Branch Library,Hohoe,9am-5pm
Keta Coastal Library,Keta,9am-5pm
Aflao Border Library,Aflao,8am-5pm
Kpando Community Library,Kpando,9am-5pm
Tamale Northern Regional Library,Tamale,8am-6pm
Yendi Branch Library,Yendi,9am-5pm
Bimbilla Public Library,Bimbilla,9am-4pm
Savelugu Community Library,Savelugu,9am-4pm
Tolon Branch Library,Tolon,9am-4pm
Sunyani Bono Regional Library,Sunyani,8am-6pm
Techiman Market Library,Techiman,9am-5pm
Berekum Branch Library,Berekum,9am-5pm
Dormaa Ahenkro Library,Dormaa Ahenkro,9am-5pm
Kintampo Public Library,Kintampo,9am-5pm
Bolgatanga Upper East Library,Bolgatanga,8am-6pm
Navrongo Community Library,Navrongo,9am-5pm
Bawku Branch Library,Bawku,9am-4pm
Zebilla Public Library,Zebilla,9am-4pm
Sandema Branch Library,Sandema,9am-4pm
Wa Upper West Regional Library,Wa,8am-6pm
Lawra Branch Library,Lawra,9am-5pm
Tumu Community Library,Tumu,9am-4pm
Jirapa Public Library,Jirapa,9am-4pm
Nandom Branch Library,Nandom,9am-4pm
